title,japanese,answer_english
屋形船,屋形船は、船の上で食事ができるように座敷と屋根が備え付けられ た、全長20メートル前後の和風の船です。 平安時代に貴族の船遊びに 使われていたのが起源で、江戸時代には花見や月見、 花火を楽しむた めに利用されました。 現在も屋形船は、 観光や宴会に利用されています。,"A yakatabune is a traditional Japanese-style boat, around 20 meters long, equipped with tatami seating and a roof so that passengers can dine on board. Its origin dates back to the Heian period, when it was used by nobles for leisure on the water. In the Edo period, it became popular for enjoying cherry blossoms, moon viewing, and fireworks. Today, yakatabune are still used for sightseeing and banquets."
ゴミ箱,日本の都市や観光地は、清潔であるとして知られています。 しかし 近年、 公共のゴミ箱の数が減少し、 ゴミ箱を見つけるのが大変です。 観光シーズンには、ゴミ箱があっても、すでにゴミ箱はゴミが溢れて おり、周囲の地面にゴミが置かれている光景をよく見かけます。 観光客は、食べ歩きをした後に、ゴミの始末に困ってしまうことがあります。,"Japanese cities and tourist destinations are known for their cleanliness. However, in recent years, the number of public trash cans has decreased, making them difficult to find. During peak tourist seasons, even when trash cans are available, they are often overflowing, and litter can be seen around them. As a result, tourists sometimes have difficulty disposing of their trash after eating while walking."
掃除, 日本の小学校では、児童が教室の掃除を行いますが、 これは仏教の 教えに基づくといわれています。 柔道や剣道などの武道の練習の前後 にも生徒が道場の掃除をします。 近年、 教育的観点から、この習慣 には、 児童の協調性、 自主性、 責任感を育むという意義がある点が注 目され、海外でも取り入れられ始めています。1,"In Japanese elementary schools, students clean their classrooms, a practice said to be based on Buddhist teachings. Students also clean the dojo before and after practicing martial arts such as judo and kendo. In recent years, from an educational perspective, this custom has been recognized for fostering cooperation, independence, and a sense of responsibility, and it has begun to be adopted overseas."
和食, 和食は、「日本人の伝統的な食文化」として、ユネスコの無形文化 遺産に登録されています。 一汁三菜を基本とする日本の食事スタイル は、理想的な栄養バランスといわれています。 また、 「うま味」 を上手 に使うことによって動物性油脂の少ない食生活を実現しており、日本 人の長寿や肥満防止に役立っています。1,"Washoku has been registered as a UNESCO Intangible Cultural Heritage as Japan’s traditional food culture. The Japanese meal style, based on one soup and three dishes, is considered to provide an ideal nutritional balance. In addition, by making effective use of umami, it achieves a diet low in animal fats, contributing to longevity and the prevention of obesity among Japanese people."
印鑑," 印鑑の歴史は長く、 約1,200年前から使われています。 印鑑は個人 でも会社でも使われていて、必要不可欠なものです。 昨今、 コロナ禍 でテレワークが増えたため、 印鑑の使用を見直すべき、という意見が あります。 古い日本の文化である印鑑をやめるべきか、熱い議論がな されています。1","Seals, or personal stamps, have a long history in Japan and have been used for about 1,200 years. They are used by both individuals and companies and are considered essential. Recently, with the increase in telework during the COVID-19 pandemic, there has been growing debate about whether their use should be reconsidered. There is active discussion about whether this traditional aspect of Japanese culture should be discontinued."
新幹線, 新幹線は、その速さから 「弾丸列車」 と呼ばれている日本の超特急 列車です。 1964年、東京オリンピックのあった年に開業し、現在では、 東京から、北は北海道の新函館北斗駅、南は九州の鹿児島中央駅まで 伸びています。 新幹線は、その出発時刻 到着時刻の正確さが、 世界 中で高く評価されています。1,"The Shinkansen is Japan’s high-speed train, often referred to as the bullet train because of its speed. It began operation in 1964, the year of the Tokyo Olympics, and now runs from Shin-Hakodate-Hokuto Station in Hokkaido in the north to Kagoshima-Chuo Station in Kyushu in the south. The Shinkansen is highly regarded worldwide for the accuracy of its departure and arrival times."
手洗い, 日本では、神社にお参りをする前に身を清めるため、手水舎で手を 洗います。 もともと日本人はきれい好きで、よく手を洗う習慣があり、 小学校でも、子供たちに手をこまめに洗うよう指導しています。 特に 今年は、この手洗いが、 新型コロナウイルスの流行を抑える1つの有 効な手段となっていました。2,"In Japan, people wash their hands at a purification basin called a chozuya before visiting a shrine. Japanese people have traditionally valued cleanliness and have a habit of washing their hands frequently, and children are taught to do so in elementary schools. In particular, in recent years, handwashing has been an effective measure to help prevent the spread of COVID-19."
キャッシュレス, 買い物の支払い方法は、キャシュレス決済が世界的に主流となっ ています。 日本では現金での支払いが好まれるようですが、 訪日外国 人の増加とともに、 日本でも、 クレジットカード、電子マネー、 スマ ートフォンでの決済の普及が求められています。 これは、都市部だけ でなく地方についても同じです。2,"Cashless payment has become the dominant method of payment worldwide. In Japan, however, cash is still commonly preferred, but with the increase in foreign visitors, there is a growing need to expand the use of credit cards, electronic money, and smartphone-based payments. This applies not only to urban areas but also to regional areas."
京都, 京都には、古都京都の文化財として世界遺産に登録されている寺院 や神社、城郭が 17 カ所あります。 その多くが京都市内に点在してお り、国宝となっているものもあります。 それらの建造物や素晴らしい 庭園では、 日本の伝統美が見られます。 他にも、秋の紅葉など京都に は見どころが多く、 季節に応じた自然美を楽しむことができます。2,"Kyoto is home to 17 temples, shrines, and castles registered as World Heritage sites under the designation of the cultural properties of ancient Kyoto. Many of them are scattered throughout Kyoto City, and some are designated as national treasures. These structures and their beautiful gardens showcase traditional Japanese aesthetics. In addition, Kyoto offers many attractions, such as autumn foliage, allowing visitors to enjoy seasonal natural beauty."
日本酒, 日本酒は、米、麹、水を混ぜ合わせて発酵させて作る醸造酒で、米 のワインとも呼ばれます。 甘口と辛口があり、 燗でも冷でも楽しめま す。全国各地で様々な銘柄の日本酒が造られており、これらは地酒と 呼ばれています。 日本酒は、 和食を提供するレストランや居酒屋で飲 めますが、最近では洋食にも合うと推奨されています。2,"Sake is an alcoholic beverage made by fermenting rice, koji, and water, and is often referred to as rice wine. It comes in both sweet and dry varieties and can be enjoyed either warm or cold. Various types of sake are produced throughout Japan and are known as local sake. Sake is commonly served in restaurants and izakaya that offer Japanese cuisine, and in recent years, it has also been recommended as a pairing with Western dishes."
日本刀, 日本刀は、専門の技術を持った職人によって作られ、有形文化財と して登録されるものもあります。 刀は武士の魂とされ、 江戸時代まで は武家の象徴でした。 現在では、 芸術品として、 日本国内だけではな く世界中で愛好されています。3,"Japanese swords are crafted by highly skilled artisans, and some are registered as tangible cultural properties. They are regarded as the soul of the samurai and served as symbols of the warrior class until the Edo period. Today, they are appreciated as works of art not only in Japan but also around the world."
旅館, 日本の宿泊施設の中で、 和風様式の施設において主として食を 供するものを 「旅館」 と呼びます。 旅館には 「中居」 と呼ばれる着物 を着た女性がおり、 接客をします。 日本には温泉がたくさんあり、 温 泉地には、温泉を売りにしている旅館もたくさんあります。 旅館の宿 泊料金には、 通常、 一泊二食が含まれています。3,"A ryokan is a traditional Japanese-style accommodation that primarily offers meals as part of the stay. There are female attendants called nakai, who wear kimono and provide hospitality. Japan has many hot springs, and in hot spring areas, there are numerous ryokan that feature these baths. The accommodation fee typically includes one night’s stay with two meals."
皇居外苑, 皇居外苑は、 東京の中心に位置する広大な公園で、 国内外から多 くの観光客が訪れます。 ここでは、 素晴らしい景観と美しい樹木を、 散策しながら楽しむことができます。 また、 天皇家について知ること もできます。3,"The Imperial Palace Outer Garden is a vast park located in central Tokyo, attracting many visitors from both Japan and abroad. Visitors can enjoy beautiful scenery and lush trees while strolling through the area. It also offers opportunities to learn about the Imperial Family."
相撲, 相撲は、二人の力士が土俵で闘う競技で、 日本の国技です。 一方の 力士が、 相手を土俵から出すか、 相手の体の一部を土俵につけたら勝 ちです。 力士の最高ランクは横綱、次のランクは大閔と呼ばれます。 相撲観戦は非常に人気があり、 大相撲は年に6回、日本の各都市で開 催されます。3,"Sumo is a sport in which two wrestlers compete in a ring, and it is considered Japan’s national sport. A wrestler wins by forcing the opponent out of the ring or by making any part of the opponent’s body touch the ground. The highest rank is yokozuna, followed by ozeki. Sumo is extremely popular, and grand tournaments are held six times a year in various cities across Japan."
お通し, 日本の居酒屋へ行くと、すぐに小さな皿に盛られた料理が一品出さ れます。 これは、お通しと呼ばれ、 誰にでも出されるものです。 お通 しは、関西では 「突き出し」 と呼ばれます。 お通しは、頼んでもいな いのに有料であるため、この習慣を知らない外国人観光客の中には、 不満を感じる人もいます。 この場合、 お通しは席料であると説明され たりします。4,"When you visit an izakaya in Japan, a small dish is served immediately. This is called otoshi and is provided to all customers. In the Kansai region, it is referred to as tsukidashi. Because it is charged even if not ordered, some foreign tourists who are unfamiliar with this custom may feel dissatisfied. In such cases, it is often explained that otoshi serves as a seating charge."
キャラクターグッズ, アニメ、漫画、ゲームなどのキャラクターは、文房具、衣類、 カバ ンなどにプリントされたり、ぬいぐるみ、フィギュアなどの商品にな ったりして、とても人気です。 いろいろな店がこうした商品を扱って います。 キャラクターグッズは、 もともと子供向けでしたが、今で は大人向けの商品も増えてきており、幅広い年代層に向けて販売され ています。4,"Characters from anime, manga, and video games are extremely popular. They are featured on stationery, clothing, and bags, and are also made into products such as plush toys and figures. Many stores carry these items. Although character goods were originally aimed at children, in recent years more products have been designed for adults, and they are now marketed to a wide range of age groups."
温泉," 日本は温泉に恵まれており、 27,000 以上の源泉があります。 源泉か らは温かい湯が自然に湧き出していて、ありがたいものです。 温泉は ケガや病気を治す効果があるため、 昔から神聖なものとされてきまし た。 温泉の周りには旅館やホテルがたくさんあり、観光客や湯治客で にぎわっています。4","Japan is rich in hot springs, with more than 27,000 natural sources. Warm water flows naturally from these sources and is regarded as a blessing. Hot springs are believed to have healing effects for injuries and illnesses, and they have been considered sacred since ancient times. Many inns and hotels are located around hot spring areas, attracting both tourists and visitors seeking therapeutic benefits."
城泊・寺泊, 日本には、城や寺といった歴史的建造物が各地に数多く存在します。 こうした観光資源を滞在型コンテンツとして活用すべく、 「城泊・寺 「泊」 の取組が推進されています。 地域活性化の一環として、2018年 には京都の仁和寺が、2020年には愛媛の大洲城が、 1泊100万円で宿 泊を提供して話題になりました。4,"Japan has many historical structures, such as castles and temples, located throughout the country. To utilize these as accommodation experiences, initiatives known as castle stays and temple stays are being promoted. As part of regional revitalization efforts, Ninna-ji Temple in Kyoto in 2018 and Ozu Castle in Ehime in 2020 offered overnight stays priced at around one million yen per night, attracting considerable attention."
東京スカイツリー, 東京スカイツリーは、地上波デジタル放送のための電波塔として 建てられました。 世界で最も高い電波塔で、展望台からは、東京都内 だけではなく、富士山や房総半島までも望めます。 タワー内は店舗や レストラン等の施設も充実しており、 外国人観光客の定番のスポット となっています。5,"Tokyo Skytree was constructed as a broadcasting tower for digital television signals. It is the tallest broadcasting tower in the world, and from its observation decks, visitors can see not only Tokyo but also Mount Fuji and the Boso Peninsula. The tower also houses various shops and restaurants, making it a popular destination for international tourists."
祇園祭, 祇園祭は八坂神社のお祭りで、 京都三大祭りの1つです。 祇園祭は、 平安時代に疫病退散を願って始まりました。 毎年7月に1か月をかけ て行われ、そのハイライトは、14日と24日の山鉾巡行で、 これはユ ネスコの無形文化遺産に登録されています。 巨大な山車が街中を練り 歩く光景を見るために、 多くの観光客が国内外から訪れます。5,"The Gion Festival is a festival of Yasaka Shrine and is one of Kyoto’s three major festivals. It originated in the Heian period as a ritual to pray for the end of epidemics. Held over the course of a month every July, its highlight is the Yamahoko procession on the 14th and 24th, which has been registered as a UNESCO Intangible Cultural Heritage. Many visitors from both Japan and abroad come to watch the large floats parade through the streets."
露天風呂, 海沿いや渓谷沿いには、露天風呂を提供する温泉があります。 露天 風呂では、昼は自然の風景を、 夜は星空を眺めながら入浴ができ、開 放感を得られます。 最近では、 温泉地以外の街中でも、 露天風呂のあ る入浴施設があります。5,"There are hot springs offering open-air baths along coastlines and in valleys. In these baths, people can enjoy natural scenery during the day and starry skies at night, providing a sense of openness. Recently, even in urban areas outside traditional hot spring regions, bathing facilities with open-air baths have become more common."
出汁, 出汁は日本料理の重要な要素で、 鰹節や昆布などから取り出しま す。 出汁は、煮物や味噌汁、 だし巻き卵、 うどんや蕎麦など、さまざ まな料理に使われ、 素材の味を引き立てます。 最近では、 顆粒状のも のやティーバッグに入ったものもあり、 便利です。5,"Dashi is a fundamental element of Japanese cuisine and is made from ingredients such as dried bonito flakes and kelp. It is used in a wide variety of dishes, including simmered foods, miso soup, rolled omelets, udon, and soba, enhancing the natural flavors of the ingredients. Recently, convenient forms such as granulated dashi and tea bag-style products have become widely available."
年越し蕎麦, 蕎麦は細く長いので、 長寿に通じ縁起が良いものとされ、人々は毎 年、大晦日の夜に年越し蕎麦を食べます。 日付が変わる頃に食べる のが習わしですが、 夕食に食べる人もいます。 蕎麦屋でも年越し蕎麦 が出され、スーパーでは生蕎麦やエビの天婦羅などが売られます。 年 越し蕎麦は、 日本の年末の風物詩です。6,"Because soba noodles are thin and long, they are associated with longevity and are considered good luck, so people eat them on New Year’s Eve each year. It is customary to eat them around midnight, although some people have them at dinner. Soba is also served at soba restaurants, and supermarkets sell fresh soba and tempura such as shrimp. Eating soba at the end of the year is a seasonal tradition in Japan."
上野公園, 上野公園には、上野動物園、 東京国立博物館、 そして、世界遺産 に登録された国立西洋美術館、 などの文化施設が存在します。また、 趣のある神社やお寺、 不忍池などの名所があります。 近辺には、アメ 横や外国人観光客に人気の秋葉原などもあり、一日中楽しむことがで きます。6,"Ueno Park is home to cultural institutions such as Ueno Zoo, the Tokyo National Museum, and the National Museum of Western Art, which is registered as a World Heritage site. It also features notable spots such as shrines, temples, and Shinobazu Pond. Nearby areas include Ameyoko and Akihabara, which are popular among foreign tourists, allowing visitors to enjoy the area throughout the day."
すき焼き, すき焼きは、 牛肉や玉ねぎ、 椎茸などの野菜を浅い鉄の鍋入れ て煮て作る、 和食の一種です。 ソースは「割り下」 といって、 みりん、 醤油、酒、砂糖で作られています。 食べるときには、 溶いた生卵と一 緒に食べます。 すき焼きは比較的値段の高い料理ですが、 外国人には 人気の料理です。 最後に、うどんを入れて食べることがよくあります。6,"Sukiyaki is a type of Japanese dish prepared by simmering beef, onions, and vegetables such as shiitake mushrooms in a shallow iron pot. The sauce, known as warishita, is made from mirin, soy sauce, sake, and sugar. It is typically eaten with beaten raw egg. Although relatively expensive, sukiyaki is popular among foreign visitors, and it is common to add and eat udon noodles at the end."
厳島神社, 厳島神社は、 瀬戸内海にある宮島に建つ神社です。 安芸の宮島と も呼ばれており、 日本三景の一つに数えられます。 厳島神社は平家の 信仰が厚く、 平清盛によって建てられました。 大きな鳥居が海上に建 っており、干潮時には、 歩いて鳥居の下をくぐることができます。,"Itsukushima Shrine is located on Miyajima Island in the Seto Inland Sea. Also known as Aki no Miyajima, it is considered one of Japan’s three most scenic views. The shrine was strongly supported by the Taira clan and was built by Taira no Kiyomori. A large torii gate stands in the sea, and at low tide, visitors can walk and pass beneath it."
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
